Animal,Symptom 1,Symptom 2,Symptom 3,Disease
goat,loss of appetite,depression,crackling sound,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,depression,loss of appetite,swelling in muscle,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
sheep,sores on tongue,difficulty walking,loss of appetite,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,loss of appetite,depression,painless lumps,pneumonia
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,loss of appetite,depression,swelling in muscle,blackleg
sheep,shortness of breath,sweats,chills,anthrax
sheep,depression,painless lumps,loss of appetite,lumpy virus
cow,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,swelling in extremities,fatigue,sweats,anthrax
buffalo,loss of appetite,painless lumps,depression,lumpy virus
buffalo,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,crackling sound,depression,difficulty walking,blackleg
buffalo,depression,painless lumps,loss of appetite,pneumonia
sheep,chest discomfort,chills,shortness of breath,anthrax
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,difficulty walking,loss of appetite,sores on tongue,foot and mouth
buffalo,lameness,loss of appetite,sores on hooves,foot and mouth
buffalo,chest discomfort,sweats,fatigue,anthrax
buffalo,painless lumps,depression,loss of appetite,lumpy virus
sheep,sores on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,shortness of breath,sweats,fatigue,anthrax
buffalo,depression,loss of appetite,painless lumps,lumpy virus
goat,shortness of breath,chills,chest discomfort,anthrax
buffalo,loss of appetite,difficulty walking,depression,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
goat,depression,painless lumps,loss of appetite,pneumonia
cow,chest discomfort,swelling in neck,shortness of breath,anthrax
sheep,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,difficulty walking,loss of appetite,depression,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
goat,chills,shortness of breath,fatigue,anthrax
buffalo,loss of appetite,crackling sound,swelling in muscle,blackleg
sheep,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,depression,crackling sound,lameness,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,swelling in limb,crackling sound,depression,blackleg
sheep,sweats,chills,fatigue,anthrax
sheep,painless lumps,depression,loss of appetite,pneumonia
goat,chills,sweats,swelling in neck,anthrax
cow,lameness,blisters on hooves,loss of appetite,foot and mouth
buffalo,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,swelling in neck,chest discomfort,fatigue,anthrax
buffalo,chest discomfort,sweats,shortness of breath,anthrax
goat,fatigue,sweats,swelling in neck,anthrax
goat,loss of appetite,lameness,sores on gums,foot and mouth
cow,painless lumps,depression,loss of appetite,lumpy virus
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,depression,loss of appetite,painless lumps,pneumonia
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,painless lumps,depression,loss of appetite,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,loss of appetite,painless lumps,lumpy virus
goat,loss of appetite,depression,painless lumps,lumpy virus
buffalo,chills,sweats,shortness of breath,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
sheep,blisters on tongue,lameness,loss of appetite,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
sheep,painless lumps,depression,loss of appetite,lumpy virus
cow,loss of appetite,crackling sound,depression,blackleg
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,swelling in limb,depression,crackling sound,blackleg
buffalo,fatigue,chills,shortness of breath,anthrax
sheep,sweats,swelling in neck,chest discomfort,anthrax
buffalo,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
goat,loss of appetite,depression,painless lumps,pneumonia
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,difficulty walking,sores on gums,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,difficulty walking,loss of appetite,sores on gums,foot and mouth
sheep,chest discomfort,fatigue,shortness of breath,anthrax
goat,loss of appetite,painless lumps,depression,pneumonia
goat,chest discomfort,sweats,chills,anthrax
sheep,depression,loss of appetite,crackling sound,blackleg
cow,painless lumps,loss of appetite,depression,pneumonia
cow,sores on gums,loss of appetite,lameness,foot and mouth
sheep,sweats,chest discomfort,fatigue,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,crackling sound,depression,loss of appetite,blackleg
goat,crackling sound,loss of appetite,depression,blackleg
buffalo,sores on tongue,loss of appetite,lameness,foot and mouth
sheep,depression,loss of appetite,painless lumps,pneumonia
buffalo,swelling in extremities,chest discomfort,fatigue,anthrax
sheep,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,fatigue,shortness of breath,swelling in abdomen,anthrax
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,swelling in extremities,shortness of breath,sweats,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
cow,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,loss of appetite,painless lumps,depression,lumpy virus
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,sweats,chest discomfort,chills,anthrax
sheep,loss of appetite,depression,painless lumps,pneumonia
cow,lameness,depression,crackling sound,blackleg
cow,sweats,chills,shortness of breath,anthrax
cow,sweats,chest discomfort,chills,anthrax
sheep,fatigue,chills,shortness of breath,anthrax
sheep,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,loss of appetite,sores on gums,lameness,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
goat,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,loss of appetite,lameness,sores on gums,foot and mouth
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,swelling in limb,crackling sound,difficulty walking,blackleg
cow,shortness of breath,fatigue,chills,anthrax
buffalo,chills,sweats,fatigue,anthrax
cow,chest discomfort,sweats,fatigue,anthrax
buffalo,depression,painless lumps,loss of appetite,lumpy virus
sheep,shortness of breath,fatigue,swelling in extremities,anthrax
cow,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
buffalo,chest discomfort,fatigue,shortness of breath,anthrax
sheep,shortness of breath,chest discomfort,chills,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
buffalo,lameness,depression,loss of appetite,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
cow,swelling in muscle,lameness,loss of appetite,blackleg
buffalo,chills,swelling in abdomen,sweats,anthrax
goat,difficulty walking,swelling in muscle,depression,blackleg
goat,painless lumps,depression,loss of appetite,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
sheep,painless lumps,depression,loss of appetite,lumpy virus
buffalo,depression,swelling in limb,crackling sound,blackleg
buffalo,chills,shortness of breath,fatigue,anthrax
buffalo,depression,lameness,crackling sound,blackleg
buffalo,loss of appetite,swelling in muscle,lameness,blackleg
cow,loss of appetite,crackling sound,swelling in muscle,blackleg
buffalo,swelling in abdomen,sweats,shortness of breath,anthrax
goat,lameness,loss of appetite,sores on tongue,foot and mouth
goat,loss of appetite,depression,painless lumps,lumpy virus
sheep,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,sweats,swelling in extremities,chills,anthrax
buffalo,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,fatigue,swelling in extremities,chest discomfort,anthrax
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,lameness,loss of appetite,sores on hooves,foot and mouth
goat,painless lumps,depression,loss of appetite,lumpy virus
buffalo,loss of appetite,sores on mouth,lameness,foot and mouth
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,shortness of breath,fatigue,sweats,anthrax
cow,chest discomfort,fatigue,sweats,anthrax
goat,difficulty walking,crackling sound,swelling in muscle,blackleg
cow,shortness of breath,sweats,swelling in abdomen,anthrax
goat,sores on mouth,loss of appetite,difficulty walking,foot and mouth
buffalo,chills,shortness of breath,swelling in extremities,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,swelling in limb,difficulty walking,depression,blackleg
sheep,loss of appetite,blisters on gums,difficulty walking,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,sweats,chest discomfort,swelling in extremities,anthrax
buffalo,sweats,fatigue,chills,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,sores on gums,lameness,foot and mouth
cow,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,depression,painless lumps,pneumonia
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,swelling in limb,depression,loss of appetite,blackleg
sheep,swelling in muscle,crackling sound,lameness,blackleg
goat,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,crackling sound,lameness,loss of appetite,blackleg
cow,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,chills,fatigue,sweats,anthrax
goat,blisters on hooves,lameness,loss of appetite,foot and mouth
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
cow,shortness of breath,chest discomfort,swelling in extremities,anthrax
sheep,depression,crackling sound,difficulty walking,blackleg
goat,chills,chest discomfort,fatigue,anthrax
buffalo,loss of appetite,sores on mouth,difficulty walking,foot and mouth
goat,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,lameness,sores on mouth,foot and mouth
sheep,painless lumps,loss of appetite,depression,lumpy virus
sheep,lameness,sores on tongue,loss of appetite,foot and mouth
buffalo,depression,loss of appetite,crackling sound,blackleg
cow,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,loss of appetite,lameness,sores on hooves,foot and mouth
cow,loss of appetite,lameness,sores on hooves,foot and mouth
buffalo,lameness,crackling sound,swelling in limb,blackleg
sheep,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
cow,lameness,depression,loss of appetite,blackleg
goat,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,loss of appetite,painless lumps,depression,pneumonia
buffalo,swelling in abdomen,chills,shortness of breath,anthrax
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,painless lumps,loss of appetite,depression,lumpy virus
buffalo,painless lumps,loss of appetite,depression,pneumonia
buffalo,loss of appetite,depression,painless lumps,pneumonia
goat,loss of appetite,painless lumps,depression,lumpy virus
buffalo,lameness,swelling in muscle,crackling sound,blackleg
buffalo,blisters on hooves,loss of appetite,lameness,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,depression,lameness,crackling sound,blackleg
cow,depression,loss of appetite,painless lumps,pneumonia
cow,painless lumps,depression,loss of appetite,lumpy virus
cow,chest discomfort,sweats,fatigue,anthrax
buffalo,painless lumps,depression,loss of appetite,pneumonia
goat,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,loss of appetite,depression,difficulty walking,blackleg
goat,lameness,depression,swelling in muscle,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
